voiceActor,movie,character
Michael-Leon Wooley,The Princess and the Frog,Louis the Alligator
June Foray,Cinderella,Lucifer the Cat
Laurie Metcalf,Meet the Robinsons,Lucille Krunklehorn
Mimi Gibson,One Hundred and One Dalmatians,Lucky
Charles Haid,Home on the Range,Lucky Jack
Paul Frees,An Adventure in Color,Ludwig Von Drake
Pat Buttram,The Rescuers,Luke
Jerry Orbach,Beauty and the Beast,Lumière
Kyle Stanger,Pooh's Heffalump Movie,Lumpy the Heffalump
Jeff Foxworthy,The Fox and the Hound 2,Lyle
June Foray,DuckTales,Ma Beagle
Ed Wynn,Alice in Wonderland,Mad Hatter
Hermione Baddeley,The Aristocats,Madame Adelaide Bonfamille
Geraldine Page,The Rescuers,Madame Medusa
Martha Wentworth,The Sword in the Stone,Madam Mim
Tress MacNeille,Fantasia,Madame Upanova
Jennifer Love Hewitt,The Hunchback of Notre Dame II,Madellaine
Roseanne Barr,Home on the Range,Maggie
Moroni Olsen,Snow White and the Seven Dwarfs,The Magic Mirror
June Foray,DuckTales,Magica De Spell
Tress MacNeille,Jungle Cubs,Mahra the Baboon
Monica Evans,Robin Hood,Maid Marian
Eleanor Audley,Sleeping Beauty,Maleficent
Jessica Di Cicco,The Emperor's New School,Malina
Jenifer Lewis,The Princess and the Frog,Mama Odie
Frank Welker,The Rescuers Down Under,Marahute
Jerry Colonna,Alice in Wonderland,March Hare
Liz English,The Aristocats,Marie
Joe Lo Truglio,Wreck-It Ralph,Markowski
Emeril Lagasse,The Princess and the Frog,Marlon the Alligator
Heather Angel,Peter Pan,Mary Darling
Miriam Margoyles,Mulan,The Matchmaker
Dwayne Johnson,Moana,Maui
Rex Everhart,Beauty and the Beast,Maurice
Dana Hill,Goof Troop,Max Goof
Ned Norton,The Tortoise and the Hare,Max Hare
Frank Welker,The Little Mermaid,Max the Sheepdog
J.K. Simmons,Zootopia,Mayor Lionheart
Charlie Adler,Aladdin,Mechanicles
John Kassir,Pocahontas,Meeko
Frank Welker,DuckTales,Megabyte Beagle
Susan Egan,Hercules,Megara
Dan Castellaneta,Darkwing Duck,Megavolt
Tara Strong,The Little Mermaid II: Return to the Sea,Melody
Cheryl Freeman,Hercules,Melpomene
Fred Willard,Chicken Little,Melvin
Cree Summer,Bambi II,Mena
Karl Swenson,The Sword in the Stone,Merlin
